j	k	likelihood
0.015	11150	-815289.201288315
0.015	11200	-815287.54362867
0.015	11250	-815285.893644633
0.015	11300	-815284.25126658
0.015	11350	-815282.616425842
0.015	11400	-815280.989054657
0.015	11450	-815279.369086171
0.015	11500	-815277.756454423
0.015	11550	-815276.151094324
0.015	11600	-815274.552941636
0.015	11650	-815272.961932969
0.015	11700	-815271.37800576
0.015	11750	-815269.801098267
0.015	11800	-815268.231149518
0.015	11850	-815266.668099378
0.015	11900	-815265.111888437
0.015	11950	-815263.562458063
0.015	12000	-815262.019750385
0.02	50	-817074.781264458
0.02	100	-816628.357535445
0.02	150	-816373.41081896
0.02	200	-816196.44244803
0.02	250	-816061.66622807
0.02	300	-815953.234139821
0.02	350	-815862.762883311
0.02	400	-815785.292494292
0.02	450	-815717.651378299
0.02	500	-815657.691918566
0.02	550	-815603.894316573
0.02	600	-815555.144710583
0.02	650	-815510.603121104
0.02	700	-815469.620914175
0.02	750	-815431.687090065
0.02	800	-815396.392126314
0.02	850	-815363.402925405
0.02	900	-815332.445019278
0.02	950	-815303.289651388
0.02	1000	-815275.744218783
0.02	1050	-815249.645079678
0.02	1100	-815224.852058461
0.02	1150	-815201.244190454
0.02	1200	-815178.716385765
0.02	1250	-815157.176784681
0.02	1300	-815136.544639667
0.02	1350	-815116.748603323
0.02	1400	-815097.725332645
0.02	1450	-815079.418342045
0.02	1500	-815061.77705399
0.02	1550	-815044.756007742
0.02	1600	-815028.314195876
0.02	1650	-815012.414504432
0.02	1700	-814997.023238161
0.02	1750	-814982.109715587
0.02	1800	-814967.645922172
0.02	1850	-814953.606211752
0.02	1900	-814939.967048445
0.02	1950	-814926.706782674
0.02	2000	-814913.805456014
0.02	2050	-814901.244630526
0.02	2100	-814889.007239078
0.02	2150	-814877.07745348
0.02	2200	-814865.440568091
0.02	2250	-814854.082896743
0.02	2300	-814842.991681171
0.02	2350	-814832.155009449
0.02	2400	-814821.561743157
0.02	2450	-814811.201452254
0.02	2500	-814801.064356513
0.02	2550	-814791.141273019
0.02	2600	-814781.423568703
0.02	2650	-814771.90311759
0.02	2700	-814762.572262022
0.02	2750	-814753.423777582
0.02	2800	-814744.450841171
0.02	2850	-814735.647001996
0.02	2900	-814727.006155089
0.02	2950	-814718.522517158
0.02	3000	-814710.190604563
0.02	3050	-814702.005212966
0.02	3100	-814693.961398867
0.02	3150	-814686.054462478
0.02	3200	-814678.279932123
0.02	3250	-814670.633549739
0.02	3300	-814663.111257542
0.02	3350	-814655.709185768
0.02	3400	-814648.423641251
0.02	3450	-814641.251096938
0.02	3500	-814634.188182077
0.02	3550	-814627.231673192
0.02	3600	-814620.378485658
0.02	3650	-814613.625665888
0.02	3700	-814606.970384042
0.02	3750	-814600.409927259
0.02	3800	-814593.941693293
0.02	3850	-814587.56318466
0.02	3900	-814581.272003074
0.02	3950	-814575.065844317
0.02	4000	-814568.94249337
0.02	4050	-814562.89981997
0.02	4100	-814556.935774224
0.02	4150	-814551.048382792
0.02	4200	-814545.235745029
0.02	4250	-814539.496029509
0.02	4300	-814533.827470735
0.02	4350	-814528.228366013
0.02	4400	-814522.697072527
0.02	4450	-814517.232004556
0.02	4500	-814511.831630913
0.02	4550	-814506.494472439
0.02	4600	-814501.219099719
0.02	4650	-814496.004130872
0.02	4700	-814490.848229471
0.02	4750	-814485.750102592
0.02	4800	-814480.708498933
0.02	4850	-814475.722207094
0.02	4900	-814470.79005386
0.02	4950	-814465.910902662
0.02	5000	-814461.083652047
0.02	5050	-814456.307234245
0.02	5100	-814451.580613866
0.02	5150	-814446.902786536
0.02	5200	-814442.272777733
0.02	5250	-814437.689641611
0.02	5300	-814433.152459856
0.02	5350	-814428.660340699
0.02	5400	-814424.212417818
0.02	5450	-814419.807849473
0.02	5500	-814415.445817532
0.02	5550	-814411.125526614
0.02	5600	-814406.846203257
0.02	5650	-814402.607095141
0.02	5700	-814398.407470305
0.02	5750	-814394.246616425
0.02	5800	-814390.12384012
0.02	5850	-814386.038466328
0.02	5900	-814381.989837586
0.02	5950	-814377.977313521
0.02	6000	-814374.000270196
0.02	6050	-814370.058099584
0.02	6100	-814366.15020904
0.02	6150	-814362.276020761
0.02	6200	-814358.434971335
0.02	6250	-814354.626511224
0.02	6300	-814350.850104362
0.02	6350	-814347.105227669
0.02	6400	-814343.391370688
0.02	6450	-814339.708035159
0.02	6500	-814336.054734614
0.02	6550	-814332.430994054
0.02	6600	-814328.83634955
0.02	6650	-814325.270347964
0.02	6700	-814321.732546516
0.02	6750	-814318.22251259
0.02	6800	-814314.739823326
0.02	6850	-814311.284065417
0.02	6900	-814307.85483474
0.02	6950	-814304.45173617
0.02	7000	-814301.07438324
0.02	7050	-814297.722397948
0.02	7100	-814294.395410473
0.02	7150	-814291.093058985
0.02	7200	-814287.814989362
0.02	7250	-814284.560855018
0.02	7300	-814281.330316689
0.02	7350	-814278.123042198
0.02	7400	-814274.938706283
0.02	7450	-814271.776990392
0.02	7500	-814268.637582541
0.02	7550	-814265.520177088
0.02	7600	-814262.424474566
0.02	7650	-814259.350181567
0.02	7700	-814256.297010509
0.02	7750	-814253.264679556
0.02	7800	-814250.252912394
0.02	7850	-814247.261438171
0.02	7900	-814244.289991273
0.02	7950	-814241.338311231
0.02	8000	-814238.406142607
0.02	8050	-814235.493234818
0.02	8100	-814232.599342062
0.02	8150	-814229.724223158
0.02	8200	-814226.867641455
0.02	8250	-814224.029364732
0.02	8300	-814221.209165036
0.02	8350	-814218.406818641
0.02	8400	-814215.622105903
0.02	8450	-814212.854811183
0.02	8500	-814210.10472274
0.02	8550	-814207.371632646
0.02	8600	-814204.655336669
0.02	8650	-814201.955634228
0.02	8700	-814199.2723283
0.02	8750	-814196.605225273
0.02	8800	-814193.954134974
0.02	8850	-814191.318870506
0.02	8900	-814188.69924819
0.02	8950	-814186.095087532
0.02	9000	-814183.506211077
0.02	9050	-814180.932444441
0.02	9100	-814178.373616128
0.02	9150	-814175.829557561
0.02	9200	-814173.300102955
0.02	9250	-814170.7850893
0.02	9300	-814168.28435627
0.02	9350	-814165.797746159
0.02	9400	-814163.325103873
0.02	9450	-814160.866276804
0.02	9500	-814158.421114826
0.02	9550	-814155.989470235
0.02	9600	-814153.571197696
0.02	9650	-814151.166154163
0.02	9700	-814148.774198867
0.02	9750	-814146.395193269
0.02	9800	-814144.02900099
0.02	9850	-814141.675487774
0.02	9900	-814139.334521449
0.02	9950	-814137.00597191
0.02	10000	-814134.689711005
0.02	10050	-814132.385612566
0.02	10100	-814130.093552349
0.02	10150	-814127.813407968
0.02	10200	-814125.545058898
0.02	10250	-814123.288386426
0.02	10300	-814121.043273575
0.02	10350	-814118.809605149
0.02	10400	-814116.587267597
0.02	10450	-814114.376149111
0.02	10500	-814112.176139431
0.02	10550	-814109.987129982
0.02	10600	-814107.809013701
0.02	10650	-814105.641685101
0.02	10700	-814103.485040193
