"","V1","V2","likelihood_estimates"
"593",0.06,1395,-4610954.66505361
"594",0.06,1410,-4611258.03918594
"595",0.06,1425,-4611558.28006004
"596",0.06,1440,-4611855.452092
"597",0.06,1455,-4612149.61772551
"598",0.06,1470,-4612440.8375139
"599",0.06,1485,-4612729.1701944
"600",0.06,1500,-4613014.67276084
"601",0.07,15,-4503340.02235361
"602",0.07,30,-4518223.28936148
"603",0.07,45,-4528209.27121379
"604",0.07,60,-4535763.60425613
"605",0.07,75,-4541856.22114725
"606",0.07,90,-4546969.52864671
"607",0.07,105,-4551379.37934781
"608",0.07,120,-4555258.71198512
"609",0.07,135,-4558723.27456123
"610",0.07,150,-4561854.42938114
"611",0.07,165,-4564711.59358495
"612",0.07,180,-4567339.50691119
"613",0.07,195,-4569772.71403231
"614",0.07,210,-4572038.45345396
"615",0.07,225,-4574158.58869344
"616",0.07,240,-4576150.93963848
"617",0.07,255,-4578030.2249038
"618",0.07,270,-4579808.74424538
"619",0.07,285,-4581496.88269625
"620",0.07,300,-4583103.4896154
"621",0.07,315,-4584636.16818078
"622",0.07,330,-4586101.49960728
"623",0.07,345,-4587505.21901037
"624",0.07,360,-4588852.35492877
"625",0.07,375,-4590147.34117135
"626",0.07,390,-4591394.10733337
"627",0.07,405,-4592596.15268957
"628",0.07,420,-4593756.60700462
"629",0.07,435,-4594878.28094564
"630",0.07,450,-4595963.70816648
"631",0.07,465,-4597015.1806605
"632",0.07,480,-4598034.77863805
"633",0.07,495,-4599024.39591571
"634",0.07,510,-4599985.76160416
"635",0.07,525,-4600920.45872551
"636",0.07,540,-4601829.94026584
"637",0.07,555,-4602715.54307928
"638",0.07,570,-4603578.49997765
"639",0.07,585,-4604419.95028383
"640",0.07,600,-4605240.94907794
"641",0.07,615,-4606042.47532537
"642",0.07,630,-4606825.43904649
"643",0.07,645,-4607590.68765952
"644",0.07,660,-4608339.0116091
"645",0.07,675,-4609071.1493744
"646",0.07,690,-4609787.79193998
"647",0.07,705,-4610489.58679195
"648",0.07,720,-4611177.14150423
"649",0.07,735,-4611851.02696086
"650",0.07,750,-4612511.78025892
"651",0.07,765,-4613159.90733069
"652",0.07,780,-4613795.88531367
"653",0.07,795,-4614420.16470091
"654",0.07,810,-4615033.17129348
"655",0.07,825,-4615635.30797668
"656",0.07,840,-4616226.95633942
"657",0.07,855,-4616808.47815228
"658",0.07,870,-4617380.21672034
"659",0.07,885,-4617942.49812104
"660",0.07,900,-4618495.63234097
"661",0.07,915,-4619039.91431964
"662",0.07,930,-4619575.62490994
"663",0.07,945,-4620103.03176294
"664",0.07,960,-4620622.39014489
"665",0.07,975,-4621133.94369073
"666",0.07,990,-4621637.92510212
"667",0.07,1005,-4622134.55679274
"668",0.07,1020,-4622624.05148818
"669",0.07,1035,-4623106.61278091
"670",0.07,1050,-4623582.43564684
"671",0.07,1065,-4624051.70692607
"672",0.07,1080,-4624514.60577018
"673",0.07,1095,-4624971.3040594
"674",0.07,1110,-4625421.9667908
"675",0.07,1125,-4625866.75244279
"676",0.07,1140,-4626305.81331407
"677",0.07,1155,-4626739.29584143
"678",0.07,1170,-4627167.34089754
"679",0.07,1185,-4627590.0840698
"680",0.07,1200,-4628007.65592179
"681",0.07,1215,-4628420.18223909
"682",0.07,1230,-4628827.78426022
"683",0.07,1245,-4629230.57889282
"684",0.07,1260,-4629628.67891884
"685",0.07,1275,-4630022.19318632
"686",0.07,1290,-4630411.22679024
"687",0.07,1305,-4630795.88124381
"688",0.07,1320,-4631176.25464017
"689",0.07,1335,-4631552.44180308
"690",0.07,1350,-4631924.53443262
"691",0.07,1365,-4632292.62123979
"692",0.07,1380,-4632656.78807625
"693",0.07,1395,-4633017.11805522
"694",0.07,1410,-4633373.69166772
"695",0.07,1425,-4633726.58689107
"696",0.07,1440,-4634075.87929353
"697",0.07,1455,-4634421.64213201
"698",0.07,1470,-4634763.94644617
"699",0.07,1485,-4635102.86114615
"700",0.07,1500,-4635438.45309805
"701",0.08,15,-4506392.09136985
"702",0.08,30,-4523469.74177409
"703",0.08,45,-4534922.38121005
"704",0.08,60,-4543586.30829826
"705",0.08,75,-4550574.61422946
"706",0.08,90,-4556440.45105076
"707",0.08,105,-4561500.01152586
"708",0.08,120,-4565951.49172243
"709",0.08,135,-4569927.53490535
"710",0.08,150,-4573521.37755604
"711",0.08,165,-4576801.10881677
"712",0.08,180,-4579817.99953685
"713",0.08,195,-4582611.63864018
"714",0.08,210,-4585213.24335005
"715",0.08,225,-4587647.87194296
"716",0.08,240,-4589935.94919687
"717",0.08,255,-4592094.34612655
"718",0.08,270,-4594137.16188291
"719",0.08,285,-4596076.30139073
"720",0.08,300,-4597921.90966916
"721",0.08,315,-4599682.70354447
"722",0.08,330,-4601366.22857298
"723",0.08,345,-4602979.06056216
"724",0.08,360,-4604526.96545229
"725",0.08,375,-4606015.02748803
"726",0.08,390,-4607447.75294834
"727",0.08,405,-4608829.15482958
"728",0.08,420,-4610162.82253647
"729",0.08,435,-4611451.97966068
"730",0.08,450,-4612699.53221263
"731",0.08,465,-4613908.10914255
"732",0.08,480,-4615080.09658475
